Date;High price;Low price;Closing price
2018-05-11;1619.79;1601.12;1603.25
2018-05-14;1607.4;1593.66;1598.58
2018-05-15;1608.47;1593.16;1606.72
2018-05-16;1606.7;1593.25;1602.27
2018-05-17;1618.95;1602.28;1618.95
2018-05-18;1627.13;1617.86;1621.61
2018-05-21;1634.76;1622.18;1626.25
2018-05-22;1632.3;1617.15;1624.44
2018-05-23;1621.9;1597.76;1602.1
2018-05-24;1612.78;1588.03;1593.57
2018-05-25;1603.04;1584.91;1586.98
2018-05-28;1598.35;1577.43;1581.52
2018-05-29;1579.5;1554.94;1572.3
2018-05-30;1574.65;1559.66;1562.54
2018-05-31;1572.42;1544.83;1549.94
2018-06-01;1573.36;1549.54;1569.51
2018-06-04;1578.47;1561.73;1564.73
2018-06-05;1572.12;1559.05;1559.05
2018-06-07;1575.74;1551.31;1555.65
2018-06-08;1562.36;1542.09;1555.87
2018-06-11;1571.23;1555.79;1571.18
2018-06-12;1577.04;1566.71;1572.27
2018-06-13;1575.47;1563.54;1571.07
2018-06-14;1591.66;1559.4;1588
2018-06-15;1587.64;1570.42;1570.43
2018-06-18;1569.64;1550.41;1561.65
2018-06-19;1565.62;1542.38;1564.87
2018-06-20;1582.27;1564.01;1572.29
2018-06-21;1576.96;1548.34;1549.55
2018-06-25;1553.12;1534.48;1534.65
2018-06-26;1539.4;1526.3;1529.23
2018-06-27;1550.14;1514.61;1540.88
2018-06-28;1543.24;1521.24;1531.66
2018-06-29;1560.74;1534.9;1558.88
2018-07-02;1557.46;1533.98;1540.86
2018-07-03;1548.79;1537.3;1538.4
2018-07-04;1538.03;1521.6;1522.34
2018-07-05;1536.05;1521.2;1526.6
2018-07-06;1535.7;1511.83;1524.17
2018-07-09;1541.61;1525.55;1541.06
2018-07-10;1551.37;1540.83;1548.38
2018-07-11;1547.21;1524.75;1526.29
2018-07-12;1544.18;1523.07;1541.52
2018-07-13;1554.17;1542.52;1550.88
2018-07-16;1555.11;1544.56;1552.75
2018-07-17;1566.75;1550.84;1556.61
2018-07-18;1572.63;1557.97;1570.42
2018-07-19;1589.81;1571.15;1584.34
2018-07-20;1589.89;1569.5;1579.4
2018-07-23;1584.94;1573.79;1580.5
2018-07-24;1605.4;1582.32;1601.38
2018-07-25;1605.28;1593.04;1593.27
2018-07-26;1609.65;1595.02;1608.8
2018-07-27;1615.39;1607.63;1612.76
2018-07-30;1615.4;1606.65;1611.07
2018-07-31;1619.11;1610.5;1615.6
2018-08-01;1622.09;1611.48;1612.54
2018-08-02;1611.26;1592.54;1598.06
2018-08-03;1614.86;1599.41;1611.95
2018-08-06;1616.29;1603.82;1608.48
2018-08-07;1621.26;1610.52;1619.89
2018-08-08;1624.1;1614.73;1622.63
2018-08-09;1631.74;1618.72;1631.23
2018-08-10;1627.44;1613.39;1616.82
2018-08-13;1616.34;1607.81;1611.8
2018-08-14;1621.61;1603.35;1608.56
2018-08-15;1619.16;1592.05;1593.59
2018-08-16;1612.52;1595.84;1611.33
2018-08-17;1623.22;1608.93;1622.71
2018-08-20;1632.65;1620.67;1630.92
2018-08-21;1640.45;1630.75;1637.6
2018-08-22;1645.4;1635.45;1643.46
2018-08-23;1649.24;1642.24;1643.71
2018-08-24;1648.43;1642.87;1646.87
2018-08-27;1665.18;1647.38;1665.1
2018-08-28;1671.44;1665.73;1671.15
2018-08-29;1679.51;1669.77;1677.22
2018-08-30;1678.05;1670.06;1672.56
2018-08-31;1671.41;1658.16;1658.16
2018-09-03;1664.47;1656.94;1660.14
2018-09-04;1663.22;1638.51;1645.95
2018-09-05;1645.29;1631.74;1631.74
2018-09-06;1646.96;1627.75;1632.42
2018-09-07;1634.8;1610.72;1618.2
2018-09-10;1629.48;1613.46;1624.25
2018-09-11;1625.86;1609.39;1620.39
2018-09-12;1631.12;1614.3;1618.81
2018-09-13;1628.87;1616.81;1621.85
2018-09-14;1634.74;1622.84;1634.74
2018-09-17;1644.79;1624.64;1640.6
2018-09-18;1640.71;1616.04;1625.45
2018-09-19;1637.91;1626.5;1630.5
2018-09-20;1646.24;1629.62;1645.84
2018-09-21;1663.34;1647.57;1662.32
2018-09-24;1661.66;1652.84;1655.01
2018-09-25;1658.9;1650.38;1656.71
2018-09-26;1658.83;1648.27;1658.29
2018-09-27;1676.89;1649.48;1676.37
2018-09-28;1674.91;1654.2;1662.36
2018-10-01;1670.35;1657.08;1667.45
2018-10-02;1665.9;1650.57;1656.9
2018-10-03;1677.33;1658.73;1665.14
2018-10-04;1664.8;1643.56;1648.96
2018-10-05;1649.61;1633.68;1634.86
2018-10-08;1634.45;1620.82;1621.19
2018-10-09;1625.77;1607.82;1624.49
2018-10-10;1626.19;1591.93;1595.13
2018-10-11;1591.56;1547.15;1550.41
2018-10-12;1565.54;1536.46;1536.46
2018-10-15;1539.82;1521.32;1536.1
2018-10-16;1554.16;1526.67;1554.16
2018-10-17;1562.78;1544.99;1548.27
2018-10-18;1558.61;1542.42;1543.87
2018-10-19;1546.92;1510.69;1531.66
2018-10-22;1545.36;1523.46;1526.05
2018-10-23;1523.27;1499.64;1508.88
2018-10-24;1523.07;1500.24;1501.47
2018-10-25;1511.33;1487.68;1506.02
2018-10-26;1504.46;1473.79;1485.27
2018-10-29;1517.72;1485.86;1503.14
2018-10-30;1516;1495.87;1516
2018-10-31;1544.98;1519.78;1538.22
2018-11-01;1541.81;1525.08;1531.26
2018-11-02;1551.79;1537.69;1551.39
2018-11-05;1550.66;1534.69;1539.01
2018-11-06;1541.87;1529.4;1534.6
2018-11-07;1547.42;1535.06;1538.69
2018-11-08;1549.74;1534.95;1536.79
2018-11-09;1535.25;1528.58;1530.51
2018-11-12;1537.99;1513.48;1514.59
2018-11-13;1527.29;1505.2;1520.26
2018-11-14;1518.68;1496.86;1502.45
2018-11-15;1510.07;1482.52;1489.79
2018-11-16;1505.74;1489.29;1499.43
2018-11-19;1509.14;1481.9;1482.49
2018-11-20;1480.3;1447.97;1456.85
2018-11-21;1478.44;1456.85;1478.44
2018-11-22;1478.35;1465.22;1466.39
2018-11-23;1477.65;1465.04;1477.35
2018-11-26;1498.25;1480.12;1498.25
2018-11-27;1505.07;1490.76;1496.41
2018-11-28;1505.74;1493.12;1500.45
2018-11-29;1518.62;1501.65;1515.38
2018-11-30;1519.18;1509.22;1514.63
2018-12-03;1544.39;1523.88;1529.78
2018-12-04;1528.72;1506.43;1506.43
2018-12-05;1502.37;1478.91;1478.96
2018-12-06;1477.9;1436.66;1436.66
2018-12-07;1468.28;1438.91;1454.03
2018-12-10;1453.23;1435.55;1435.55
2018-12-11;1473.66;1436.67;1465.29
2018-12-12;1494.21;1465.54;1494.21
2018-12-13;1497.31;1476.8;1478.75
2018-12-14;1481.72;1458.65;1471.67
2018-12-17;1471.68;1450.36;1451.95
2018-12-18;1457.15;1443.08;1447.79
2018-12-19;1455.84;1444.72;1450.11
2018-12-20;1446.83;1419.01;1419.01
2018-12-21;1418.47;1397.99;1408.34
2018-12-27;1420.5;1378.42;1384.59
2018-12-28;1416.1;1387.52;1408.74
2019-01-02;1410.49;1378.2;1405.85
2019-01-03;1407.86;1390.65;1393.52
2019-01-04;1437.86;1395.28;1435.29
2019-01-07;1446.15;1433.62;1439.93
2019-01-08;1464.02;1440.05;1457.47
2019-01-09;1475.95;1458.05;1470.51
2019-01-10;1472.74;1454.9;1470.69
2019-01-11;1478.64;1460.72;1465.43
2019-01-14;1462.62;1454.65;1458.13
2019-01-15;1471.93;1451.23;1455.48
2019-01-16;1472.81;1455.44;1468.85
2019-01-17;1476.64;1458.79;1473.89
2019-01-18;1499.79;1474.62;1499.79
2019-01-21;1501.28;1487.67;1493.76
2019-01-22;1496.89;1480.28;1486.32
2019-01-23;1486.8;1473.46;1478.72
2019-01-24;1489.7;1478.19;1488.4
2019-01-25;1505.72;1487.7;1501.12
2019-01-28;1505.58;1489.44;1491.01
2019-01-29;1506;1485.52;1502.72
2019-01-30;1510.93;1497.45;1509.5
2019-01-31;1526.13;1507.25;1515.42
