id;Date;Open;High;Low;Close
664;1989-05-26;189.94;190.16;190.16;190.16
665;1989-05-29;190.16;190.74;190.74;190.74
666;1989-05-30;190.74;190.74;190.74;190.74
667;1989-05-31;190.74;189.41;189.41;189.41
668;1989-06-01;189.41;189.25;189.25;189.25
669;1989-06-02;189.25;189.88;189.88;189.88
670;1989-06-05;189.88;189.09;189.09;189.09
671;1989-06-06;189.09;188.86;188.86;188.86
672;1989-06-07;188.86;189.68;189.68;189.68
673;1989-06-08;189.68;191.74;191.74;191.74
674;1989-06-09;191.74;192.62;192.62;192.62
675;1989-06-12;192.62;192.63;192.63;192.63
676;1989-06-13;192.63;193.95;193.95;193.95
677;1989-06-14;193.95;196.42;196.42;196.42
678;1989-06-15;196.42;196.25;196.25;196.25
679;1989-06-16;196.25;197.08;197.08;197.08
680;1989-06-19;197.08;196.27;196.27;196.27
681;1989-06-20;196.27;195.6;195.6;195.6
682;1989-06-21;195.6;196.3;196.3;196.3
683;1989-06-22;196.3;195.72;195.72;195.72
684;1989-06-26;195.72;197.41;197.41;197.41
685;1989-06-27;197.41;198.3;198.3;198.3
686;1989-06-28;198.3;199.42;199.42;199.42
687;1989-06-29;199.42;198.31;198.31;198.31
688;1989-06-30;198.31;197.59;197.59;197.59
689;1989-07-03;197.59;196.51;196.51;196.51
690;1989-07-04;196.51;197.61;197.61;197.61
691;1989-07-05;197.61;198.55;198.55;198.55
692;1989-07-06;198.55;200.09;200.09;200.09
693;1989-07-07;200.09;201.01;201.01;201.01
694;1989-07-10;201.01;201.64;201.64;201.64
695;1989-07-11;201.64;203.04;203.04;203.04
696;1989-07-12;203.04;204.82;204.82;204.82
697;1989-07-13;204.82;206.46;206.46;206.46
698;1989-07-14;206.46;206.07;206.07;206.07
699;1989-07-17;206.07;205.74;205.74;205.74
700;1989-07-18;205.74;205.92;205.92;205.92
701;1989-07-19;205.92;207.2;207.2;207.2
702;1989-07-20;207.2;207.99;207.99;207.99
703;1989-07-21;207.99;207.91;207.91;207.91
704;1989-07-24;207.91;208.53;208.53;208.53
705;1989-07-25;208.53;209.05;209.05;209.05
706;1989-07-26;209.05;210.15;210.15;210.15
707;1989-07-27;210.15;210.84;210.84;210.84
708;1989-07-28;210.84;210.99;210.99;210.99
709;1989-07-31;210.99;211.59;211.59;211.59
710;1989-08-01;211.59;212.05;212.05;212.05
711;1989-08-02;212.05;213.06;213.06;213.06
712;1989-08-03;213.06;212.3;212.3;212.3
713;1989-08-04;212.3;212.09;212.09;212.09
714;1989-08-07;212.09;211.08;211.08;211.08
715;1989-08-08;211.08;213.61;213.61;213.61
716;1989-08-09;213.61;214.22;214.22;214.22
717;1989-08-10;214.22;217.14;217.14;217.14
718;1989-08-11;217.14;216.72;216.72;216.72
719;1989-08-14;216.72;216.93;216.93;216.93
720;1989-08-15;216.93;219.06;219.06;219.06
721;1989-08-16;219.06;222.04;222.04;222.04
722;1989-08-17;222.04;218.86;218.86;218.86
723;1989-08-18;218.86;217.8;217.8;217.8
724;1989-08-21;217.8;215.91;215.91;215.91
725;1989-08-22;215.91;212.33;212.33;212.33
726;1989-08-23;212.33;211.88;211.88;211.88
727;1989-08-24;211.88;214.16;214.16;214.16
728;1989-08-25;214.16;217.58;217.58;217.58
729;1989-08-28;217.58;219.2;219.2;219.2
730;1989-08-29;219.2;217.96;217.96;217.96
731;1989-08-30;217.96;217.43;217.43;217.43
732;1989-08-31;217.43;218.49;218.49;218.49
733;1989-09-01;218.49;216.86;216.86;216.86
734;1989-09-04;216.86;213.53;213.53;213.53
735;1989-09-05;213.53;214.46;214.46;214.46
736;1989-09-06;214.46;213.82;213.82;213.82
737;1989-09-07;213.82;213.54;213.54;213.54
738;1989-09-08;213.54;215.38;215.38;215.38
739;1989-09-11;215.38;214.5;214.5;214.5
740;1989-09-12;214.5;213.03;213.03;213.03
741;1989-09-13;213.03;211.13;211.13;211.13
742;1989-09-14;211.13;209.77;209.77;209.77
743;1989-09-15;209.77;210.81;210.81;210.81
744;1989-09-18;210.81;209.51;209.51;209.51
745;1989-09-19;209.51;207.54;207.54;207.54
746;1989-09-20;207.54;206.06;206.06;206.06
747;1989-09-21;206.06;207.95;207.95;207.95
748;1989-09-22;207.95;206.95;206.95;206.95
749;1989-09-25;206.95;204.45;204.45;204.45
750;1989-09-26;204.45;204.73;204.73;204.73
751;1989-09-27;204.73;206.31;206.31;206.31
752;1989-09-28;206.31;207.93;207.93;207.93
753;1989-09-29;207.93;208.83;208.83;208.83
754;1989-10-02;208.83;208.55;208.55;208.55
755;1989-10-03;208.55;208.79;208.79;208.79
756;1989-10-04;208.79;210.84;210.84;210.84
757;1989-10-05;210.84;210.45;210.45;210.45
758;1989-10-06;210.45;211.07;211.07;211.07
759;1989-10-09;211.07;211.42;211.42;211.42
760;1989-10-10;211.42;212.06;212.06;212.06
761;1989-10-11;212.06;213.37;213.37;213.37
762;1989-10-12;213.37;212.85;212.85;212.85
763;1989-10-13;212.85;212.41;212.41;212.41
764;1989-10-16;212.41;197.08;197.08;197.08
765;1989-10-17;197.08;203.06;203.06;203.06
766;1989-10-18;203.06;203.35;203.35;203.35
767;1989-10-19;203.35;206.89;206.89;206.89
768;1989-10-20;206.89;206.87;206.87;206.87
769;1989-10-23;206.87;204.92;204.92;204.92
770;1989-10-24;204.92;202.8;202.8;202.8
771;1989-10-25;202.8;200.46;200.46;200.46
772;1989-10-26;200.46;201.37;201.37;201.37
773;1989-10-27;201.37;199.74;199.74;199.74
774;1989-10-30;199.74;197.62;197.62;197.62
775;1989-10-31;197.62;195.01;195.01;195.01
776;1989-11-01;195.01;197.52;197.52;197.52
777;1989-11-02;197.52;198.47;198.47;198.47
778;1989-11-03;198.47;196.94;196.94;196.94
779;1989-11-06;196.94;197.13;197.13;197.13
780;1989-11-07;197.13;195.52;195.52;195.52
781;1989-11-08;195.52;197.55;197.55;197.55
782;1989-11-09;197.55;199.3;199.3;199.3
783;1989-11-10;199.3;198.04;198.04;198.04
784;1989-11-13;198.04;197.99;197.99;197.99
785;1989-11-14;197.99;193.98;193.98;193.98
786;1989-11-15;193.98;190.46;190.46;190.46
787;1989-11-16;190.46;190.45;190.45;190.45
788;1989-11-17;190.45;186.25;186.25;186.25
789;1989-11-20;186.25;187.35;187.35;187.35
790;1989-11-21;187.35;184.76;184.76;184.76
791;1989-11-22;184.76;181.74;181.74;181.74
792;1989-11-23;181.74;182.54;182.54;182.54
793;1989-11-24;182.54;182.42;182.42;182.42
794;1989-11-27;182.42;184.03;184.03;184.03
795;1989-11-28;184.03;187.93;187.93;187.93
796;1989-11-29;187.93;190.41;190.41;190.41
797;1989-11-30;190.41;191.26;191.26;191.26
798;1989-12-01;191.26;189.21;189.21;189.21
799;1989-12-04;189.21;187.84;187.84;187.84
800;1989-12-05;187.84;188.87;188.87;188.87
801;1989-12-06;188.87;190.49;190.49;190.49
802;1989-12-07;190.49;191.79;191.79;191.79
803;1989-12-08;191.79;194.69;194.69;194.69
804;1989-12-11;194.69;195.68;195.68;195.68
805;1989-12-12;195.68;197.49;197.49;197.49
806;1989-12-13;197.49;200.64;200.64;200.64
807;1989-12-14;200.64;201.2;201.2;201.2
808;1989-12-15;201.2;202.44;202.44;202.44
809;1989-12-18;202.44;200.61;200.61;200.61
810;1989-12-19;200.61;200.6;200.6;200.6
811;1989-12-20;200.6;201.59;201.59;201.59
812;1989-12-21;201.59;201.83;201.83;201.83
813;1989-12-22;201.83;201.28;201.28;201.28
814;1989-12-27;201.28;203.91;203.91;203.91
815;1989-12-28;203.91;207.85;207.85;207.85
816;1989-12-29;207.85;208.48;208.48;208.48
817;1990-01-02;208.48;206.69;206.69;206.69
818;1990-01-03;206.69;208.44;208.44;208.44
819;1990-01-04;208.44;211.82;211.82;211.82
820;1990-01-05;211.82;214.36;214.36;214.36
821;1990-01-08;214.36;215.62;215.62;215.62
822;1990-01-09;215.62;219.73;219.73;219.73
823;1990-01-10;219.73;218.96;218.96;218.96
824;1990-01-11;218.96;219.22;219.22;219.22
825;1990-01-12;219.22;218.96;218.96;218.96
826;1990-01-15;218.96;215.52;215.52;215.52
827;1990-01-16;215.52;211.77;211.77;211.77
828;1990-01-17;211.77;215.81;215.81;215.81
829;1990-01-18;215.81;212.97;212.97;212.97
830;1990-01-19;212.97;210.32;210.32;210.32
831;1990-01-22;210.32;207.82;207.82;207.82
832;1990-01-23;207.82;206.92;206.92;206.92
833;1990-01-24;206.92;202.71;202.71;202.71
834;1990-01-25;202.71;206.58;206.58;206.58
835;1990-01-26;206.58;206.98;206.98;206.98
836;1990-01-29;206.98;207.19;207.19;207.19
837;1990-01-30;207.19;207.19;207.19;207.19
838;1990-01-31;207.19;209.26;209.26;209.26
839;1990-02-01;209.26;211.09;211.09;211.09
840;1990-02-02;211.09;213.01;213.01;213.01
841;1990-02-05;213.01;214.02;214.02;214.02
842;1990-02-06;214.02;212.79;212.79;212.79
843;1990-02-07;212.79;210.21;210.21;210.21
844;1990-02-08;210.21;210.38;210.38;210.38
845;1990-02-09;210.38;209.13;209.13;209.13
846;1990-02-12;209.13;205.46;205.46;205.46
847;1990-02-13;205.46;200.21;200.21;200.21
848;1990-02-14;200.21;198.42;198.42;198.42
849;1990-02-15;198.42;194.34;194.34;194.34
850;1990-02-16;194.34;196.93;196.93;196.93
851;1990-02-19;196.93;192.25;192.25;192.25
852;1990-02-20;192.25;189.47;189.47;189.47
853;1990-02-21;189.47;188.78;188.78;188.78
854;1990-02-22;188.78;194.08;194.08;194.08
855;1990-02-23;194.08;193.33;193.33;193.33
856;1990-02-26;193.33;191.9;191.9;191.9
857;1990-02-27;191.9;194.91;194.91;194.91
858;1990-02-28;194.91;195.72;195.72;195.72
859;1990-03-01;195.72;193.97;193.97;193.97
860;1990-03-02;193.97;193.21;193.21;193.21
861;1990-03-05;193.21;192.97;192.97;192.97
862;1990-03-06;192.97;193.58;193.58;193.58
863;1990-03-07;193.58;193.15;193.15;193.15
864;1990-03-08;193.15;191.91;191.91;191.91
865;1990-03-09;191.91;192.0;192.0;192.0
866;1990-03-12;192.0;190.95;190.95;190.95
867;1990-03-13;190.95;189.67;189.67;189.67
868;1990-03-14;189.67;189.68;189.68;189.68
869;1990-03-15;189.68;190.2;190.2;190.2
870;1990-03-16;190.2;189.71;189.71;189.71
871;1990-03-19;189.71;187.81;187.81;187.81
872;1990-03-20;187.81;188.76;188.76;188.76
873;1990-03-21;188.76;190.69;190.69;190.69
874;1990-03-22;190.69;191.03;191.03;191.03
875;1990-03-23;191.03;190.69;190.69;190.69
876;1990-03-26;190.69;191.08;191.08;191.08
877;1990-03-27;191.08;190.6;190.6;190.6
878;1990-03-28;190.6;190.0;190.0;190.0
879;1990-03-29;190.0;189.07;189.07;189.07
880;1990-03-30;189.07;187.88;187.88;187.88
881;1990-04-02;187.88;184.99;184.99;184.99
882;1990-04-03;184.99;186.27;186.27;186.27
883;1990-04-04;186.27;187.36;187.36;187.36
884;1990-04-05;187.36;187.3;187.3;187.3
885;1990-04-06;187.3;189.2;189.2;189.2
886;1990-04-09;189.2;189.68;189.68;189.68
887;1990-04-10;189.68;189.55;189.55;189.55
888;1990-04-11;189.55;188.9;188.9;188.9
889;1990-04-12;188.9;188.92;188.92;188.92
890;1990-04-17;188.92;190.67;190.67;190.67
891;1990-04-18;190.67;192.77;192.77;192.77
892;1990-04-19;192.77;193.51;193.51;193.51
893;1990-04-20;193.51;196.06;196.06;196.06
894;1990-04-23;196.06;196.0;196.0;196.0
895;1990-04-24;196.0;193.91;193.91;193.91
896;1990-04-25;193.91;193.56;193.56;193.56
897;1990-04-26;193.56;194.38;194.38;194.38
898;1990-04-27;194.38;192.95;192.95;192.95
899;1990-04-30;192.95;190.89;190.89;190.89
900;1990-05-02;190.89;191.26;191.26;191.26
901;1990-05-03;191.26;191.79;191.79;191.79
902;1990-05-04;191.79;192.95;192.95;192.95
903;1990-05-07;192.95;194.41;194.41;194.41
904;1990-05-08;194.41;195.03;195.03;195.03
905;1990-05-09;195.03;198.74;198.74;198.74
906;1990-05-10;198.74;200.82;200.82;200.82
907;1990-05-11;200.82;203.77;203.77;203.77
908;1990-05-14;203.77;206.1;206.1;206.1
909;1990-05-15;206.1;205.45;205.45;205.45
910;1990-05-16;205.45;203.43;203.43;203.43
911;1990-05-17;203.43;206.19;206.19;206.19
912;1990-05-18;206.19;206.99;206.99;206.99
913;1990-05-21;206.99;207.54;207.54;207.54
914;1990-05-22;207.54;208.63;208.63;208.63
915;1990-05-23;208.63;210.15;210.15;210.15
916;1990-05-25;210.15;213.06;213.06;213.06
917;1990-05-28;213.06;216.23;216.23;216.23
918;1990-05-29;216.23;213.9;213.9;213.9
919;1990-05-30;213.9;214.6;214.6;214.6
920;1990-05-31;214.6;215.52;215.52;215.52
921;1990-06-01;215.52;216.26;216.26;216.26
922;1990-06-05;216.26;220.7;220.7;220.7
923;1990-06-06;220.7;218.44;218.44;218.44
924;1990-06-07;218.44;217.94;217.94;217.94
925;1990-06-08;217.94;218.8;218.8;218.8
926;1990-06-11;218.8;217.55;217.55;217.55
927;1990-06-12;217.55;218.23;218.23;218.23
928;1990-06-13;218.23;217.11;217.11;217.11
929;1990-06-14;217.11;215.79;215.79;215.79
930;1990-06-15;215.79;216.93;216.93;216.93
931;1990-06-18;216.93;217.38;217.38;217.38
932;1990-06-19;217.38;216.67;216.67;216.67
933;1990-06-20;216.67;218.45;218.45;218.45
934;1990-06-21;218.45;219.73;219.73;219.73
935;1990-06-25;219.73;220.71;220.71;220.71
936;1990-06-26;220.71;221.7;221.7;221.7
937;1990-06-27;221.7;222.91;222.91;222.91
938;1990-06-28;222.91;225.19;225.19;225.19
939;1990-06-29;225.19;225.71;225.71;225.71
940;1990-07-02;225.71;226.19;226.19;226.19
941;1990-07-03;226.19;228.76;228.76;228.76
942;1990-07-04;228.76;230.93;230.93;230.93
943;1990-07-05;230.93;230.81;230.81;230.81
944;1990-07-06;230.81;230.26;230.26;230.26
945;1990-07-09;230.26;230.03;230.03;230.03
946;1990-07-10;230.03;230.15;230.15;230.15
947;1990-07-11;230.15;229.32;229.32;229.32
948;1990-07-12;229.32;230.07;230.07;230.07
949;1990-07-13;230.07;230.2;230.2;230.2
950;1990-07-16;230.2;229.15;229.15;229.15
951;1990-07-17;229.15;229.17;229.17;229.17
952;1990-07-18;229.17;228.4;228.4;228.4
953;1990-07-19;228.4;228.66;228.66;228.66
954;1990-07-20;228.66;228.68;228.68;228.68
955;1990-07-23;228.68;227.37;227.37;227.37
956;1990-07-24;227.37;225.26;225.26;225.26
957;1990-07-25;225.26;225.67;225.67;225.67
958;1990-07-26;225.67;225.84;225.84;225.84
959;1990-07-27;225.84;226.63;226.63;226.63
960;1990-07-30;226.63;225.14;225.14;225.14
961;1990-07-31;225.14;227.87;227.87;227.87
962;1990-08-01;227.87;228.86;228.86;228.86
963;1990-08-02;228.86;224.66;224.66;224.66
964;1990-08-03;224.66;223.71;223.71;223.71
965;1990-08-06;223.71;211.46;211.46;211.46
966;1990-08-07;211.46;212.69;212.69;212.69
967;1990-08-08;212.69;209.54;209.54;209.54
968;1990-08-09;209.54;212.6;212.6;212.6
969;1990-08-10;212.6;212.53;212.53;212.53
970;1990-08-13;212.53;207.09;207.09;207.09
971;1990-08-14;207.09;209.21;209.21;209.21
972;1990-08-15;209.21;209.65;209.65;209.65
973;1990-08-16;209.65;207.59;207.59;207.59
974;1990-08-17;207.59;200.72;200.72;200.72
975;1990-08-20;200.72;196.09;196.09;196.09
976;1990-08-21;196.09;190.16;190.16;190.16
977;1990-08-22;190.16;189.58;189.58;189.58
978;1990-08-23;189.58;181.67;181.67;181.67
979;1990-08-24;181.67;184.68;184.68;184.68
980;1990-08-27;184.68;195.29;195.29;195.29
